LOCATION,SUBJECT,TIME,Value
CAN,CORP,1981,55.5869013259261
CAN,CORP,1982,55.6827650758501
CAN,CORP,1983,50.3268416596105
CAN,CORP,1984,49.0739249476566
CAN,CORP,1985,50.173849214781
CAN,CORP,1986,48.8901927156203
CAN,CORP,1987,48.2859418558343
CAN,CORP,1988,48.9137024348292
AUS,CORP,1980,48.7009985207101
AUS,CORP,1981,52.4844842485663
AUS,CORP,1982,55.5926743423015
AUS,CORP,1983,50.3531949312483
AUS,CORP,1984,48.6011567961775
AUS,CORP,1985,50.9420082553435
AUS,CORP,1986,52.3628544281642
AUS,CORP,1987,51.184108312063
AUS,CORP,1988,48.3853875921318
FRA,CORP,1980,45.1481075399378
FRA,CORP,1981,45.3652618030677
FRA,CORP,1982,46.2639669931138
FRA,CORP,1983,46.4502161469098
FRA,CORP,1984,46.8357709321325
FRA,CORP,1985,48.0203880712336
FRA,CORP,1986,48.9532005459551
FRA,CORP,1987,49.3131207303905
FRA,CORP,1988,49.6831965137281
AUS,HH,1980,39.3814718934911
AUS,HH,1981,36.5052242909891
AUS,HH,1982,31.2553441110382
AUS,HH,1983,35.0624606812259
AUS,HH,1984,36.6858418206966
AUS,HH,1985,34.4040759055676
AUS,HH,1986,32.9711956793519
AUS,HH,1987,36.5053823105094
AUS,HH,1988,40.7981758144024
FIN,CORP,1980,50.3425774877651
FIN,CORP,1981,52.6489104116223
FIN,CORP,1982,51.3677034512143
FIN,CORP,1983,52.2151898734177
FIN,CORP,1984,52.6861853325753
FIN,CORP,1985,54.1419737181139
FIN,CORP,1986,55.999755859375
FIN,CORP,1987,56.8685538731622
FIN,CORP,1988,56.3656550703183
AUS,GG,1980,11.9175295857988
AUS,GG,1981,11.0083274412758
AUS,GG,1982,13.1519815466603
AUS,GG,1983,14.5861418172014
AUS,GG,1984,14.711429649189
AUS,GG,1985,14.6539158390889
AUS,GG,1986,14.6646997049557
AUS,GG,1987,12.3105093774276
AUS,GG,1988,10.8164365934659
SWE,CORP,1980,56.5669163445991
SWE,CORP,1981,57.3723942101254
SWE,CORP,1982,60.5961966763748
SWE,CORP,1983,62.5120643581204
SWE,CORP,1984,64.2701482473199
SWE,CORP,1985,67.5663367017254
SWE,CORP,1986,68.4135316063606
SWE,CORP,1987,69.9821916268003
SWE,CORP,1988,69.6781036118018
FRA,GG,1980,16.9066410532897
FRA,GG,1981,17.9290217328928
FRA,GG,1982,19.0567783047264
FRA,GG,1983,19.1715652959846
FRA,GG,1984,19.5931136173435
FRA,GG,1985,20.397417843301
FRA,GG,1986,20.162167164041
FRA,GG,1987,20.0109045424903
FRA,GG,1988,20.3098271199075
KOR,CORP,1980,56.6382320509679
KOR,CORP,1981,61.1059511762341
KOR,CORP,1982,64.2482265752185
KOR,CORP,1983,61.5474555960392
KOR,CORP,1984,59.5368320063046
KOR,CORP,1985,61.4899402685416
KOR,CORP,1986,58.270314182116
KOR,CORP,1987,60.2622865251929
KOR,CORP,1988,58.6680290756562
USA,HH,1980,30.9598769634798
USA,HH,1981,30.0895782281326
USA,HH,1982,27.8282092227648
USA,HH,1983,31.2320831399365
USA,HH,1984,31.4086038087836
USA,HH,1985,30.7903365406756
USA,HH,1986,32.4845952570848
USA,HH,1987,33.4054339603074
USA,HH,1988,33.4700973817029
FRA,HH,1980,37.9452514067724
FRA,HH,1981,36.7057164640395
FRA,HH,1982,34.6792547021598
FRA,HH,1983,34.378919195387
FRA,HH,1984,33.570451254666
FRA,HH,1985,31.5828171927769
FRA,HH,1986,30.8846322900039
FRA,HH,1987,30.6754401907226
FRA,HH,1988,30.0069763663644
NOR,HH,1980,30.2116300809803
NOR,HH,1981,27.5739334234506
NOR,HH,1982,27.7806875120027
NOR,HH,1983,24.8841755298681
NOR,HH,1984,24.460467785909
NOR,HH,1985,24.9507254311525
NOR,HH,1986,25.2445658657632
NOR,HH,1987,25.6371700562527
NOR,HH,1988,24.0101283293838
SWE,HH,1980,20.4080892749672
SWE,HH,1981,18.2699632938569
SWE,HH,1982,15.9487052582821
SWE,HH,1983,14.8504577482468
SWE,HH,1984,14.4968679455482
SWE,HH,1985,12.6967759675534
SWE,HH,1986,12.0242604343007
SWE,HH,1987,11.6922306891587
SWE,HH,1988,12.2244366973418
USA,GG,1980,18.512794450402
USA,GG,1981,17.9771525400049
USA,GG,1982,19.1707142931381
USA,GG,1983,19.5634345851426
USA,GG,1984,19.0475544865859
USA,GG,1985,19.9073526813264
USA,GG,1986,20.5456394494863
USA,GG,1987,21.3305069017298
USA,GG,1988,20.6918080798231
NOR,GG,1980,17.1308862783966
NOR,GG,1981,16.6538622373066
NOR,GG,1982,15.3188777737042
NOR,GG,1983,14.8617032738691
NOR,GG,1984,14.3514134022098
NOR,GG,1985,14.6632904462086
NOR,GG,1986,15.0348357233185
NOR,GG,1987,16.5961704889658
NOR,GG,1988,18.1701011310644
SWE,GG,1980,23.0249943804338
SWE,GG,1981,24.3576424960177
SWE,GG,1982,23.4550980653431
SWE,GG,1983,22.6374778936328
SWE,GG,1984,21.2329838071319
SWE,GG,1985,19.7368873307211
SWE,GG,1986,19.5622079593386
SWE,GG,1987,18.325577684041
SWE,GG,1988,18.0974596908564
FIN,GG,1980,15.8020663404024
FIN,GG,1981,15.4866828087167
FIN,GG,1982,16.080102258202
FIN,GG,1983,16.5310427968656
FIN,GG,1984,15.9465605457646
FIN,GG,1985,16.5356866786911
FIN,GG,1986,16.650390625
FIN,GG,1987,17.3743691024797
FIN,GG,1988,16.5016654330126
KOR,GG,1980,21.6108184268562
KOR,GG,1981,24.2580090660826
KOR,GG,1982,19.8829275173229
KOR,GG,1983,19.1355479116433
KOR,GG,1984,18.2556032876618
KOR,GG,1985,19.3086843309731
KOR,GG,1986,17.7776750391324
KOR,GG,1987,16.0954975233932
KOR,GG,1988,15.9790898541522
CAN,HH,1981,29.3103448275862
CAN,HH,1982,26.6919310100791
CAN,HH,1983,31.6861416878352
CAN,HH,1984,32.4647017769904
CAN,HH,1985,30.4844598118565
CAN,HH,1986,33.4855801778219
CAN,HH,1987,35.8550378335325
CAN,HH,1988,35.8703774196732
KOR,HH,1980,21.7517152658662
KOR,HH,1981,14.6360397576833
KOR,HH,1982,15.8694336207251
KOR,HH,1983,19.3174816489504
KOR,HH,1984,22.207993010078
KOR,HH,1985,19.2013754004854
KOR,HH,1986,23.9520107787516
KOR,HH,1987,23.6424878072651
KOR,HH,1988,25.3528810701916
USA,CORP,1980,50.5273285861182
USA,CORP,1981,51.9332690983084
USA,CORP,1982,53.0010764840971
USA,CORP,1983,49.2044823977057
USA,CORP,1984,49.5438417046305
USA,CORP,1985,49.3023107779979
USA,CORP,1986,46.969765293429
USA,CORP,1987,45.2640591379628
USA,CORP,1988,45.8380944535037
NOR,CORP,1980,52.6574836406231
NOR,CORP,1981,55.7722043392428
NOR,CORP,1982,56.9004347142932
NOR,CORP,1983,60.2541211962628
NOR,CORP,1984,61.1881188118812
NOR,CORP,1985,60.3859841226389
NOR,CORP,1986,59.7205984109184
NOR,CORP,1987,57.7666594547815
NOR,CORP,1988,57.8197705395517
FIN,HH,1980,33.8553561718325
FIN,HH,1981,31.864406779661
FIN,HH,1982,32.5521942905837
FIN,HH,1983,31.2537673297167
FIN,HH,1984,31.36725412166
FIN,HH,1985,29.3223396031951
FIN,HH,1986,27.349853515625
FIN,HH,1987,25.7570770243581
FIN,HH,1988,27.1326794966691
CAN,GG,1981,15.1190295349493
CAN,GG,1982,17.6572648304359
CAN,GG,1983,18.0152413209145
CAN,GG,1984,18.4785526386428
CAN,GG,1985,19.3513492630725
CAN,GG,1986,17.6440853906215
CAN,GG,1987,15.8749502190362
CAN,GG,1988,15.2257891694511
